PLW,Palau,18055,17972,17794,18540,19726,15293,12252,11366,0
PSE,Palestine,5250072,5019401,4484614,3992278,3139954,2124609,1453620,1118241,0.07
PAN,Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,0.06
PNG,Papua New Guinea,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,0.13
PRY,Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,0.09
PER,Peru,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,0.43
PHL,Philippines,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,1.45
POL,Poland,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,0.5
PRT,Portugal,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,0.13
PRI,Puerto Rico,3252407,3271564,3497335,3717922,3827108,3543776,3214568,2737619,0.04
QAT,Qatar,2695122,2760385,2414573,1713504,645937,441675,277450,118007,0.03
COG,Republic of the Congo,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,0.07
REU,Reunion,974052,957822,922495,890130,785424,658992,551674,473925,0.01
ROU,Romania,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,0.25
RUS,Russia,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,1.81
RWA,Rwanda,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,0.17
BLM,Saint Barthelemy,10967,10681,9643,8988,7082,5168,2983,2417,0
KNA,Saint Kitts and Nevis,47657,47642,47790,47403,45461,40636,43097,44968,0
LCA,Saint Lucia,179857,179237,175623,170935,159500,142301,121633,103090,0
MAF,Saint Martin,31791,32552,35020,36458,29610,28127,7776,5802,0
SPM,Saint Pierre and Miquelon,5862,5906,5978,6052,6274,6324,6106,5537,0
VCT,Saint Vincent and the Grenadines,103948,104632,106482,109308,113813,112487,107480,98459,0
WSM,Samoa,222382,214929,203571,194672,184008,168186,164905,142771,0
SMR,San Marino,33660,34007,33570,31608,26823,23132,21346,18169,0
STP,Sao Tome and Principe,227380,218641,201124,182138,143714,120343,97210,77583,0
SAU,Saudi Arabia,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,0.46
SEN,Senegal,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,0.22
SRB,Serbia,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,0.09
SYC,Seychelles,107118,105530,99240,92409,80060,71057,65290,54379,0
SLE,Sierra Leone,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,0.11
SGP,Singapore,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,0.07
SXM,Sint Maarten,44175,43621,40205,33034,30489,27845,12243,6260,0
SVK,Slovakia,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,0.07
SVN,Slovenia,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,0.03
SLB,Solomon Islands,724273,691191,612660,540394,429978,324171,233668,172833,0.01
SOM,Somalia,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,0.22
ZAF,South Africa,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,0.75
KOR,South Korea,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,0.65
SSD,South Sudan,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,0.14
ESP,Spain,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,0.6
LKA,Sri Lanka,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,0.27
SDN,Sudan,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,0.59
SUR,Suriname,618040,607065,575475,546080,478998,412756,375112,379918,0.01
SWE,Sweden,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,0.13
CHE,Switzerland,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,0.11
SYR,Syria,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,0.28
TWN,Taiwan,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,0.3
TJK,Tajikistan,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,0.12
TZA,Tanzania,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,0.82
THA,Thailand,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,0.9
TLS,Timor-Leste,1341296,1299995,1205813,1088486,878360,758106,642224,554021,0.02
TGO,Togo,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,0.11
TKL,Tokelau,1871,1827,1454,1367,1666,1669,1647,1714,0
TON,Tonga,106858,105254,106122,107383,102603,98727,96708,86484,0
TTO,Trinidad and Tobago,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,0.02
TUN,Tunisia,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,0.15
TUR,Turkey,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,1.07
TKM,Turkmenistan,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,0.08
TCA,Turks and Caicos Islands,45703,44276,36538,29726,18744,11709,7598,5665,0
TUV,Tuvalu,11312,11069,10877,10550,9638,9182,7731,5814,0
UGA,Uganda,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,0.59
UKR,Ukraine,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,0.5
ARE,United Arab Emirates,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,0.12
GBR,United Kingdom,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,0.85
USA,United States,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,4.24
VIR,United States Virgin Islands,99465,100442,102803,106142,108185,100685,96640,63446,0
URY,Uruguay,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,0.04
UZB,Uzbekistan,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,0.43
VUT,Vanuatu,326740,311685,276438,245453,192074,150882,118156,87019,0
VAT,Vatican City,510,520,564,596,651,700,733,752,0
VEN,Venezuela,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,0.35
VNM,Vietnam,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,1.23
WLF,Wallis and Futuna,11572,11655,12182,13142,14723,13454,11315,9377,0
ESH,Western Sahara,575986,556048,491824,413296,270375,178529,116775,76371,0.01
YEM,Yemen,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,0.42
ZMB,Zambia,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,0.25
ZWE,Zimbabwe,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,0.2
